player_id,name,team,position,status,uniform_number,percent_owned,ownership_trend,timestamp,bye_week,is_undroppable
33393,Ja'Marr Chase,Cincinnati Bengals,WR,,1,,,2025-05-06 16:37:58.630025,,
30972,Saquon Barkley,Philadelphia Eagles,RB,,26,,,2025-05-06 16:37:58.630025,,
40055,Bijan Robinson,Atlanta Falcons,RB,,7,,,2025-05-06 16:37:58.630025,,
32692,Justin Jefferson,Minnesota Vikings,WR,,18,,,2025-05-06 16:37:58.630025,,
32687,CeeDee Lamb,Dallas Cowboys,WR,,88,,,2025-05-06 16:37:58.630025,,
40059,Jahmyr Gibbs,Detroit Lions,RB,,0,,,2025-05-06 16:37:58.630025,,
29279,Derrick Henry,Baltimore Ravens,RB,,22,,,2025-05-06 16:37:58.630025,,
33500,Amon-Ra St. Brown,Detroit Lions,WR,,14,,,2025-05-06 16:37:58.630025,,
40168,Puka Nacua,Los Angeles Rams,WR,,12,,,2025-05-06 16:37:58.630025,,
40883,Brian Thomas Jr.,Jacksonville Jaguars,WR,,7,,,2025-05-06 16:37:58.630025,,
33477,Nico Collins,Houston Texans,WR,,12,,,2025-05-06 16:37:58.630025,,
40899,Malik Nabers,New York Giants,WR,,1,,,2025-05-06 16:37:58.630025,,
41791,Ashton Jeanty,Las Vegas Raiders,RB,,2,,,2025-05-06 16:37:58.630025,,
32711,Jonathan Taylor,Indianapolis Colts,RB,,28,,,2025-05-06 16:37:58.630025,,
40878,Brock Bowers,Las Vegas Raiders,TE,,89,,,2025-05-06 16:37:58.630025,,
31856,Josh Jacobs,Green Bay Packers,RB,,8,,,2025-05-06 16:37:58.630025,,
40118,De'Von Achane,Miami Dolphins,RB,,28,,,2025-05-06 16:37:58.630025,,
31883,A.J. Brown,Philadelphia Eagles,WR,,11,,,2025-05-06 16:37:58.630025,,
40993,Bucky Irving,Tampa Bay Buccaneers,RB,,7,,,2025-05-06 16:37:58.630025,,
33963,Drake London,Atlanta Falcons,WR,,5,,,2025-05-06 16:37:58.630025,,
30121,Christian McCaffrey,San Francisco 49ers,RB,,23,,,2025-05-06 16:37:58.630025,,
34010,Trey McBride,Arizona Cardinals,TE,,85,,,2025-05-06 16:37:58.630025,,
40908,Ladd McConkey,Los Angeles Chargers,WR,,15,,,2025-05-06 16:37:58.630025,,
30977,Josh Allen,Buffalo Bills,QB,,17,,,2025-05-06 16:37:58.630025,,
40041,Jaxon Smith-Njigba,Seattle Seahawks,WR,,11,,,2025-05-06 16:37:58.630025,,
